"","simnum","dHat","nHat","pHat","pHatZeroNeg","pHatDropNeg","aHat","square","TrapSpacing","FielSize","CatchRadius","NumVisits","density"
"116",4,1,4,1,1,1,4,"1",1,10,0.5,4,1.5
"117",4,1.25,20,1,1,1,16,"2",1,10,0.5,4,1.5
"118",4,1.90086206896552,68.4310344827586,0.718281915090494,0.718281915090494,0.718281915090494,36,"3",1,10,0.5,4,1.5
"119",4,2.18767755681818,140.011363636364,0.544799816336585,0.544799816336585,0.544799816336585,64,"4",1,10,0.5,4,1.5
"120",4,2.74285714285714,76.8,0.387627564304206,0.387627564304206,0.387627564304206,28,"5",1,10,0.5,4,1.5
"121",5,4,16,1,1,1,4,"1",1,10,0.5,4,1.5
"122",5,2,32,1,1,1,16,"2",1,10,0.5,4,1.5
"123",5,1.80979284369115,65.1525423728814,0.78002932746797,0.78002932746797,0.78002932746797,36,"3",1,10,0.5,4,1.5
"124",5,2.10016447368421,134.410526315789,0.600885936857356,0.600885936857356,0.600885936857356,64,"4",1,10,0.5,4,1.5
"125",5,2.58035714285714,72.25,0.45767385545336,0.45767385545336,0.45767385545336,28,"5",1,10,0.5,4,1.5
"126",6,1,4,1,1,1,4,"1",1,10,0.5,4,1.5
"127",6,1.875,30,1,1,1,16,"2",1,10,0.5,4,1.5
"128",6,1.96168582375479,70.6206896551724,0.693813782152103,0.693813782152103,0.693813782152103,36,"3",1,10,0.5,4,1.5
"129",6,2.16309691011236,138.438202247191,0.554805437816006,0.554805437816006,0.554805437816006,64,"4",1,10,0.5,4,1.5
"130",6,2.54493087557604,71.258064516129,0.416540034008422,0.416540034008422,0.416540034008422,28,"5",1,10,0.5,4,1.5
"131",7,1.25,5,1,1,1,4,"1",1,10,0.5,4,1.5
"132",7,1.6875,27,1,1,1,16,"2",1,10,0.5,4,1.5
"133",7,2.12673611111111,76.5625,0.70722997811544,0.70722997811544,0.70722997811544,36,"3",1,10,0.5,4,1.5
"134",7,2.09256114130435,133.923913043478,0.586271621506125,0.586271621506125,0.586271621506125,64,"4",1,10,0.5,4,1.5
"135",7,2.14413265306122,60.0357142857143,0.436907493628527,0.436907493628527,0.436907493628527,28,"5",1,10,0.5,4,1.5
"136",8,1.75,7,1,1,1,4,"1",1,10,0.5,4,1.5
"137",8,1.4375,23,1,1,1,16,"2",1,10,0.5,4,1.5
"138",8,1.76960784313725,63.7058823529412,0.675557157738475,0.675557157738475,0.675557157738475,36,"3",1,10,0.5,4,1.5
"139",8,2.16964285714286,138.857142857143,0.528595479208968,0.528595479208968,0.528595479208968,64,"4",1,10,0.5,4,1.5
"140",8,2.81493506493506,78.8181818181818,0.405911474213995,0.405911474213995,0.405911474213995,28,"5",1,10,0.5,4,1.5
"141",9,2,8,1,1,1,4,"1",1,10,0.5,4,1.5
"142",9,1.378125,22.05,0.781782109764008,0.781782109764008,0.781782109764008,16,"2",1,10,0.5,4,1.5
"143",9,1.84099616858238,66.2758620689655,0.745999745999619,0.745999745999619,0.745999745999619,36,"3",1,10,0.5,4,1.5
"144",9,2.10069444444444,134.444444444444,0.573598567288779,0.573598567288779,0.573598567288779,64,"4",1,10,0.5,4,1.5
"145",9,2.57142857142857,72,0.422649730810374,0.422649730810374,0.422649730810374,28,"5",1,10,0.5,4,1.5
"146",10,1.25,5,1,1,1,4,"1",1,10,0.5,4,1.5
"147",10,1.69,27.04,0.803883864861816,0.803883864861816,0.803883864861816,16,"2",1,10,0.5,4,1.5
"148",10,1.86520947176685,67.1475409836066,0.78349364905389,0.78349364905389,0.78349364905389,36,"3",1,10,0.5,4,1.5
