"dHat","nHat","pHat","pHatZeroNeg","pHatDropNeg","aHat","square","TrapSpacing","FieldSize","CatchRadius","NumVisits","density","simnum","paramnum"
162.984496124031,2.54663275193798,0.66781808058504,0.66781808058504,0.66781808058504,64,"4",1,10,0.5,4,2,7,4
82.5714285714286,2.94897959183673,0.579915974791597,0.579915974791597,0.579915974791597,28,"5",1,10,0.5,4,2,7,4
6,1.5,1,1,1,4,"1",1,10,0.5,4,2,8,4
35.030303030303,2.18939393939394,0.828501414857491,0.828501414857491,0.828501414857491,16,"2",1,10,0.5,4,2,8,4
82.7205882352941,2.29779411764706,0.694494953669611,0.694494953669611,0.694494953669611,36,"3",1,10,0.5,4,2,8,4
176.165289256198,2.7525826446281,0.586197055698816,0.586197055698816,0.586197055698816,64,"4",1,10,0.5,4,2,8,4
95.1132075471698,3.39690026954178,0.496491185021987,0.496491185021987,0.496491185021987,28,"5",1,10,0.5,4,2,8,4
4,1,1,1,1,4,"1",1,10,0.5,4,2,9,4
35,2.1875,1,1,1,16,"2",1,10,0.5,4,2,9,4
89.1975308641975,2.47770919067215,0.783069542181344,0.783069542181344,0.783069542181344,36,"3",1,10,0.5,4,2,9,4
181.038167938931,2.8287213740458,0.613540882691779,0.613540882691779,0.613540882691779,64,"4",1,10,0.5,4,2,9,4
95.22,3.40071428571429,0.475250232167198,0.475250232167198,0.475250232167198,28,"5",1,10,0.5,4,2,9,4
4,1,1,1,1,4,"1",1,10,0.5,4,2,10,4
29,1.8125,1,1,1,16,"2",1,10,0.5,4,2,10,4
85.1139240506329,2.36427566807314,0.808726986080998,0.808726986080998,0.808726986080998,36,"3",1,10,0.5,4,2,10,4
177.608,2.775125,0.598659962745609,0.598659962745609,0.598659962745609,64,"4",1,10,0.5,4,2,10,4
97.5869565217391,3.48524844720497,0.440149273626536,0.440149273626536,0.440149273626536,28,"5",1,10,0.5,4,2,10,4
NA,NA,NA,NA,NA,4,"1",1,11,0.5,4,0.5,1,5
10,0.625,1,1,1,16,"2",1,11,0.5,4,0.5,1,5
21.0526315789474,0.584795321637427,0.776393202250021,0.776393202250021,0.776393202250021,36,"3",1,11,0.5,4,0.5,1,5
43.4571428571429,0.679017857142857,0.679743692389826,0.679743692389826,0.679743692389826,64,"4",1,11,0.5,4,0.5,1,5
22.5625,0.805803571428571,0.602640292880487,0.602640292880487,0.602640292880487,28,"5",1,11,0.5,4,0.5,1,5
NA,NA,NA,NA,NA,4,"1",1,11,0.5,4,0.5,2,5
6,0.375,1,1,1,16,"2",1,11,0.5,4,0.5,2,5
18,0.5,1,1,1,36,"3",1,11,0.5,4,0.5,2,5
31.1481481481481,0.486689814814815,0.737387134280555,0.737387134280555,0.737387134280555,64,"4",1,11,0.5,4,0.5,2,5
13.4444444444444,0.48015873015873,0.573598567288779,0.573598567288779,0.573598567288779,28,"5",1,11,0.5,4,0.5,2,5
1,0.25,1,1,1,4,"1",1,11,0.5,4,0.5,3,5
12,0.75,1,1,1,16,"2",1,11,0.5,4,0.5,3,5
22,0.611111111111111,1,1,1,36,"3",1,11,0.5,4,0.5,3,5
51.2,0.8,0.75,0.75,0.75,64,"4",1,11,0.5,4,0.5,3,5
29.3913043478261,1.04968944099379,0.660316889756621,0.660316889756621,0.660316889756621,28,"5",1,11,0.5,4,0.5,3,5
3,0.75,1,1,1,4,"1",1,11,0.5,4,0.5,4,5
14,0.875,1,1,1,16,"2",1,11,0.5,4,0.5,4,5
27.04,0.751111111111111,0.803883864861816,0.803883864861816,0.803883864861816,36,"3",1,11,0.5,4,0.5,4,5
43.4571428571429,0.679017857142857,0.679743692389826,0.679743692389826,0.679743692389826,64,"4",1,11,0.5,4,0.5,4,5
16.9,0.603571428571429,0.519615538584739,0.519615538584739,0.519615538584739,28,"5",1,11,0.5,4,0.5,4,5
4,1,1,1,1,4,"1",1,11,0.5,4,0.5,5,5
11,0.6875,1,1,1,16,"2",1,11,0.5,4,0.5,5,5
29.7619047619048,0.826719576719577,0.6,0.6,0.6,36,"3",1,11,0.5,4,0.5,5,5
50.7037037037037,0.79224537037037,0.480124755089964,0.480124755089964,0.480124755089964,64,"4",1,11,0.5,4,0.5,5,5
24,0.857142857142857,0.292893218813452,0.292893218813452,0.292893218813452,28,"5",1,11,0.5,4,0.5,5,5
NA,NA,NA,NA,NA,4,"1",1,11,0.5,4,0.5,6,5
4,0.25,1,1,1,16,"2",1,11,0.5,4,0.5,6,5
21,0.583333333333333,1,1,1,36,"3",1,11,0.5,4,0.5,6,5
49.972972972973,0.780827702702703,0.626456316181186,0.626456316181186,0.626456316181186,64,"4",1,11,0.5,4,0.5,6,5
30.25,1.08035714285714,0.477767032132906,0.477767032132906,0.477767032132906,28,"5",1,11,0.5,4,0.5,6,5
2,0.5,1,1,1,4,"1",1,11,0.5,4,0.5,7,5
9,0.5625,1,1,1,16,"2",1,11,0.5,4,0.5,7,5
20.0555555555556,0.557098765432099,0.770584266129438,0.770584266129438,0.770584266129438,36,"3",1,11,0.5,4,0.5,7,5
40.5,0.6328125,0.666666666666667,0.666666666666667,0.666666666666667,64,"4",1,11,0.5,4,0.5,7,5
20.6428571428571,0.737244897959184,0.579915974791597,0.579915974791597,0.579915974791597,28,"5",1,11,0.5,4,0.5,7,5
3,0.75,1,1,1,4,"1",1,11,0.5,4,0.5,8,5
5,0.3125,1,1,1,16,"2",1,11,0.5,4,0.5,8,5
18.0625,0.501736111111111,0.757464374963667,0.757464374963667,0.757464374963667,36,"3",1,11,0.5,4,0.5,8,5
